Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Act,Justification,Notes
Soviet Sportwomen,1951-04-27,1951,L.N. 263,Printed Documents,,Sun Kwong Publishing Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Labour Hero,1951-04-27,1951,L.N. 263,Printed Documents,,Sun Kwong Publishing,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Student News (Singapore),1951-04-27,1951,L.N. 263,Printed Documents,,Student News Press,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Pictorial,1951-04-27,1951,L.N. 263,Printed Documents,,Sino Soviet Friendship Society,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,Soviet Mentioned
Singing In Praise Of China,1951-04-27,1951,L.N. 263,Printed Documents,,Sim Hwa Bookstore,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Youth Culture And Ideological Training,1951-04-27,1951,L.N. 263,Printed Documents,Ai Han Sung,Shanghai Magazine Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Seruan Raayat,1951-04-27,1951,L.N. 263,Printed Documents,,Seruan Raayat Office,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
United States Of America,1951-04-27,1951,L.N. 263,Printed Documents,Lau Chin Kei,"Sam Luen Bookshop,China",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
"Value,Price And Profit",1951-04-27,1951,L.N. 263,Printed Documents,Karl Marx,"Sam Luen Bookshop,China",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Wong Kwai And Li Heung Heung,1951-04-27,1951,L.N. 263,Printed Documents,Li Kwai,"Sam Luen Bookshop,China",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Wong Pei Kan Goes South,1951-04-27,1951,L.N. 263,Printed Documents,Hon Hei Cheung,"Sam Luen Bookshop,China",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Short Song Of The Plateau,1951-04-27,1951,L.N. 263,Printed Documents,Chow Yee Fuk,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Siam,1951-04-27,1951,L.N. 263,Printed Documents,Tso Min Chi,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Social Science And Real Society,1951-04-27,1951,L.N. 263,Printed Documents,Emile Burns,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Socialist Soviet Union,1951-04-27,1951,L.N. 263,Printed Documents,So Wah,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Obermorov,1951-04-27,1951,L.N. 263,Printed Documents,Koncharov,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,"Original Publication Was Most Probably In Russian, But Could Be Translated In English Or Chinese Here; No Evidence To Back This Up"
On Austerity System & Reduction Of Cost Of Industrial Products,1951-04-27,1951,L.N. 263,Printed Documents,To Lut Chi Ko,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,"No Evidence To Back This Up; But Language Could've Been Chinese/English, And Category Could Be Socialism Based On The Title"
On Co-Operation Between Cities & Villages,1951-04-27,1951,L.N. 263,Printed Documents,Lo Hung,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,Title Seems To Suggest Leftist Economic Models
On Marx,1951-04-27,1951,L.N. 263,Printed Documents,,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Sociology Elementary Reader,1951-04-27,1951,L.N. 263,Printed Documents,,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Communist Youth Corps,1951-04-27,1951,L.N. 263,Printed Documents,M Vulin,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Finance And Currency,1951-04-27,1951,L.N. 263,Printed Documents,,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Transportation,1951-04-27,1951,L.N. 263,Printed Documents,,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Union's Collective Farm System,1951-04-27,1951,L.N. 263,Printed Documents,D E Lapochev,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Union's New Ethical Didactics,1951-04-27,1951,L.N. 263,Printed Documents,B.P.Yesipov & N.K.Goncharov,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Speed Of Development Soviet Industries,1951-04-27,1951,L.N. 263,Printed Documents,Kielmiker,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Study Of Utilisation New Philosophy,1951-04-27,1951,L.N. 263,Printed Documents,,Sam Luen Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
"What Comes First,Classes Or Exploitation",1951-04-27,1951,L.N. 263,Printed Documents,Readers Publishing Co.,Readers' Publishing Co.Tien Tsin,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Socialistic Development From Utopia To Science,1951-04-27,1951,L.N. 263,Printed Documents,Kina,Readers Publishing Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Case For Comunisme,1951-04-27,1951,L.N. 263,Printed Documents,W. Gallacher,Penguin Books Ltd.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Study The Sino-Russian Pact,1951-04-27,1951,L.N. 263,Printed Documents,,New Youth Publishing House,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Story Of Nin Si,1951-04-27,1951,L.N. 263,Printed Documents,Pai Lang,New China Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Short History Of World War Ii,1951-04-27,1951,L.N. 263,Printed Documents,Shu Yen,New China Book Co,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Daily Worker,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Liberator,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Union Weekly,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Sin Sing Hoi-People's Song Composer,1951-04-27,1951,L.N. 263,Printed Documents,Sam Luen Bookshop,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Sam Luen
Youth's National Language Book,1951-04-27,1951,L.N. 263,Printed Documents,Lu Chin Shan,Long Life Book Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Who Is Our Friend,1951-04-27,1951,L.N. 263,Printed Documents,North East Railway Workers Union,"Liberation Society,Peiping",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Who Save Us,1951-04-27,1951,L.N. 263,Printed Documents,North East Railway Workers Union,"Liberation Society,Peiping",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Russia's Patriotism,1951-04-27,1951,L.N. 263,Printed Documents,Caruso,Liberation Society,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Spark,1951-04-27,1951,L.N. 263,Printed Documents,Pravada,Liberation Society,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Finance Policy And Frinciples,1951-04-27,1951,L.N. 263,Printed Documents,Lui Kee,Knowledge Bookshop,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
On Communist Education,1951-04-27,1951,L.N. 263,Printed Documents,Kalnin,Foreign Language Publishing Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Soviet Russia's Present Mission,1951-04-27,1951,L.N. 263,Printed Documents,Lenin,Foreign Language Publishing Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Speeches By Stalin Made At General Election,1951-04-27,1951,L.N. 263,Printed Documents,Stalin,Foreign Language Publishing Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Stalin On China's Revolution,1951-04-27,1951,L.N. 263,Printed Documents,Stalin,Epoch Publishing Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Son Of The Blacksmith And His Assistants,1951-04-27,1951,L.N. 263,Printed Documents,,Education Pictorial Pub.Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Story Of Sheung Ngo's Escape To Moon,1951-04-27,1951,L.N. 263,Printed Documents,,Education Pictorial Pub.Co.,Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Sarbiyan,1951-04-27,1951,L.N. 263,Printed Documents,,"Brothers Book Co,Shanghai",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Twilight Of World Capitalism,1951-04-27,1951,L.N. 263,Printed Documents,William Z. Foster,"50Th Era Publishing Co,Shanghai",Foreign,,,Subversive Ideological And Political Content,Communism/Socialism,,,
"Eye, The",1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,"[""English""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Forward Bloc,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,"[""English""]",Subversive Ideological And Political Content,Communism/Socialism,,,
World Federation,1951-05-04,1951,L.N. 278,Printed Documents,Raja Mahandra Pratap,,Unclear,,"[""English""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Action News Service,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,"[""TIDAK ADA BAHASA""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Russia To-Day,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Lack Of Information; Title Too Generic
Russia To-Day Newsletter,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Lack Of Information
Angles,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
"British Union Quarterly, The",1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Incomplete Name In The Kdn List
"Communist International, The",1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Incomplete Name In The Kdn List
Labour Monthly,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Malayan Monitor,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
Moscow News...,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Lack Of Information
Netaji,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Lack Of Information; Title Too Generic
"New Propeller, The...",1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Lack Of Information
Preet Lari,1951-05-04,1951,L.N. 278,Printed Documents,Our Baksh Singh,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,
World News And Views,1951-05-04,1951,L.N. 278,Printed Documents,,,Unclear,,,Subversive Ideological And Political Content,Communism/Socialism,,,Lack Of Information; Title Too Generic
We Are Indebted To The Great Stalin For Our Success,1952-06-12,1952,L.N. 329,Printed Documents,Kosygin,,Unclear,,"[""English""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Songs Of Liberated Zones,1952-06-12,1952,L.N. 329,Printed Documents,,Yim Chai Publishing Society,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
New Attitude Of Life,1952-06-12,1952,L.N. 329,Printed Documents,Cho Yat Cheong And Others,The New Youth Publishing Co.Hongkong,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Pictorial Autography Of Gorky,1952-06-12,1952,L.N. 329,Printed Documents,Various,"Tai Chung Art Publishing House,Shanghai",Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Historical Materialism History Of Social Expansion,1952-06-12,1952,L.N. 329,Printed Documents,Ngoi Szkhie,"Som Luen Bookshop,Manchuria",Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
New China & The South Seas Chinese,1952-06-12,1952,L.N. 329,Printed Documents,,Singapore Nam Chiau Pau,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Study Of Capitalism,1952-06-12,1952,L.N. 329,Printed Documents,Wong Sze Wa,"Sin Tze, Tuk Shwee And Sang Fah Bookshops",Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Capitalism Mentioned
Speechless Article,1952-06-12,1952,L.N. 329,Printed Documents,Pa Jin And Others,Sin Si Tai Wen Ye Seh,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Russian Reader,1952-06-12,1952,L.N. 329,Printed Documents,Koo Yung Chung,Sin Min Chu Publishing Co,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Fascinating Palace,1952-06-12,1952,L.N. 329,Printed Documents,Wong Kah Yang,Sin Min Chu Publishing Co,Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Publisher
How Marx Studied,1952-06-12,1952,L.N. 329,Printed Documents,,"Sin Hwa Bookshop,Manchuria",Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Research On Investigation,1952-06-12,1952,L.N. 329,Printed Documents,Yee Kwong Yueu,Sin Hwa Bookshop,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
To Have An Interview With,1952-06-12,1952,L.N. 329,Printed Documents,Cultural Working Cell Of The Political Dept. Of N.W. Army District,"Sin Hwa Book Store, Canton",Unclear,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,Publisher
Voice Of Liberation,1952-06-12,1952,L.N. 329,Printed Documents,Sin Huai,"Sin Hwa Book Store, Canton",Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Kuo Koon Tai,1952-06-12,1952,L.N. 329,Printed Documents,Au Yong Shan,Sin Hwa Book Co.Shanghai,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Story Of Underground Worker In China During Japanese Occupation,1952-06-12,1952,L.N. 329,Printed Documents,Oh Nan,"Sin Hwa Book Co., Shanghai",Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
The Functions Of Progressive Ideas In The Development Of Socialism,1952-06-12,1952,L.N. 329,Printed Documents,Kong Sze Tan & Ting Noe Fu,Shanghai Newspapers & Magazine Publishing Society,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Letter To The Beginner Who Wishes To Write,1952-06-12,1952,L.N. 329,Printed Documents,Russian Literary Advisory Committee,San Lian Bookshop,Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
Introducing Communist Leaders In Various Countries,1952-06-12,1952,L.N. 329,Printed Documents,,"Sam Luen Bookshop,Manchuria",Foreign,,"[""Chinese""]",Subversive Ideological And Political Content,Communism/Socialism,,,
