Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
The House of Love,1992-12-17,1992,P.U. (A) 541,Printed Documents,Karen Hunter,"Warner Paperback Library, 1967",Unclear,"Hunt Barnard Printing Ltd.,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Double Delight,1992-12-17,1992,P.U. (A) 541,Printed Documents,Aston Cantwell,"Warner Books, Inc.,",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Silk Stockings,1992-12-17,1992,P.U. (A) 541,Printed Documents,R.S. Adams,"The Berkley Publishing Group,",Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Cerita-Cerita Ajaib Dunia,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,"King Kong Publishing House,",Unclear,Chao Qun Printing Co.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Pencuri dan Pelacur,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,World Publishing House,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Gadis-Gadis Cantik,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,World Publishing House,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Dunia Lelaki,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,First Publishing House (Hong Kong) Co. Ltd,Foreign,Modern Electronic Colour Separation & Printing Factory,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Berita Rahsia,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,Now Era Publishing House,Unclear,Wen Fung Printing Co.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Wanita Yang Jelita,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,n/a,Unclear,Queen Offset Printing Factory,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Koleksi Cerita-Cerita Ajaib,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,Ming Soon Publishing House,Unclear,"Lee Tat Printing Co.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Koleksi Foto Wang Xiao Feng Dalam Penthouse,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,"Youngder Hall Limited,",Unclear,"Dai Nippon Printing Co.,(H.K) Ltd.,","[""Chinese""]",Obscene / immoral publications,Pornography,,,
Dunia Ganjil,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Sedutan Khas Mengenai Keberahian,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Lembah Ria,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Perempuan Liar,1992-12-31,1992,P.U. (A) 556,Printed Documents,n/a,"King Kong Publishing House,",Unclear,Ting Lung Comic Drawing Room,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Jed,1992-12-31,1992,P.U. (A) 557,Printed Documents,n/a,Transtar Publications,Local,JIWAMAS Printers Sdn. Bhd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Topeng,1992-12-31,1992,P.U. (A) 557,Printed Documents,n/a,Transtar Publications,Local,JIWAMAS Printers Sdn. Bhd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Dunia Baru,1992-12-31,1992,P.U. (A) 557,Printed Documents,n/a,Transtar Publications,Local,"Kosnet Press Sdn Bhd.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Dunia Ganjil (Fantastic World),1992-12-31,1992,P.U. (A) 557,Printed Documents,n/a,"Kaiyue Sdn.Bhd.,",Local,Syarikat Percetakan Ihsan,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Dunia Aneh,1992-12-31,1992,P.U. (A) 557,Printed Documents,n/a,"Kaiyue Sdn Bhd.,",Local,Syarikat Percetakan Ihsan,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Koleksi Cerita Tak Sopan Jilid 1-4,1992-12-31,1992,P.U. (A) 557,Printed Documents,Wong Jin,GG Enterprise,Local,Syarikat Percetakan Ihsan,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Pembongkaran Rahsia,1992-12-31,1992,P.U. (A) 557,Printed Documents,n/a,Da Tong Publishing Organisation Sdn. Bhd.,Local,Herald Printers Sdn Bhd,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Kes-Kes Luar Biasa,1992-12-31,1992,P.U. (A) 557,Printed Documents,n/a,Sunlight Books House (M) Sdn. Bhd.,Local,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
MADONNA EROTICA,1993-03-25,1993,P.U. (A) 76,Audio/Recordings,MADONNA,Maverick Recording Company,Unclear,Digitpress,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
Kehidupan Dalam Kurungan,1993-04-29,1993,P.U. (A) 112,Printed Documents,"Li Yi Wen, He Ku Han, Xin",Borneo Printing Co. Sdn. Bhd.,Local,Borneo Printing Co. Sdn. Bhd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Kajian Dasar Negara Kita Terhadap Urusan Orang Cina Seberang Laut-Analisis Perkembangannya Selepas 1971),1993-04-29,1993,P.U. (A) 113,Printed Documents,Yan Kuo Yu,"Loong Wen Publishing Co. Ltd.,",Unclear,Lian He Printing Press Co. Ltd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
CREPAK & STEVESON,1993-06-03,1993,P.U. (A) 145,Printed Documents,Maurice Horn,Catalan Communications,Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
LIBERTORE (Video Clips),1993-06-03,1993,P.U. (A) 145,Visual Media,n/a,Catalan Communications,Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
EPIC ILLUSTRATED,1993-06-03,1993,P.U. (A) 145,Printed Documents,Stan Lee,Marvel Comics Group Office of Publication,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
SQUEAK THE MOUSE,1993-06-03,1993,P.U. (A) 145,Printed Documents,Massimo Mattioli,Catalan Communications,Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
NECRON,1993-06-03,1993,P.U. (A) 145,Printed Documents,Magnus,Catalan Communications,Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
RUDE HEALTH,1993-06-03,1993,P.U. (A) 145,Printed Documents,David Thorpe,"Macmillan London Limited, London And Basingstoke",Foreign,"New Interlitho, Milan","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
GLAMOUR PHOTOGRAPHY,1993-06-03,1993,P.U. (A) 145,Printed Documents,Peter Gowland,"Crown Publisher Inc.,",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
BLACK KISS,1993-06-03,1993,P.U. (A) 145,Printed Documents,Howard Chaykin,"Vortex Comics, Incorporated",Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
TRULY TASTELESS JOKES VII,1993-06-03,1993,P.U. (A) 145,Printed Documents,Blanche Knott,St. Martin's Press,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
TRULY TASTELESS JOKES IV,1993-06-03,1993,P.U. (A) 145,Printed Documents,Blanche Knott,St. Martin's Press,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE SEX MACHINE,1993-06-03,1993,P.U. (A) 145,Printed Documents,Troy Conway,"Top Sellers Ltd.,",Foreign,The Philips Park Press Manchester,"[""English""]",Obscene / immoral publications,Pornography,,,
SHADES OF DEATH,1993-06-03,1993,P.U. (A) 145,Printed Documents,Kazuo Koike,"Shogakukun, Inc., japanViz Communications, Inc.,",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
CRYING FREEMAN (Part Four),1993-06-03,1993,P.U. (A) 145,Printed Documents,Kazuo Koike,Viz Comics,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE PIRELLI CALENDAR ALBUM,1993-06-03,1993,P.U. (A) 145,Printed Documents,n/a,"Pavilion Books Limited,",Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Sifat Baik Yang Semulajadi,1993-09-02,1993,P.U. (A) 253,Printed Documents,Dr Jin,Physician Wen,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Permaisuri,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,"King Kong Publishing House,",Unclear,Chao Qun Printing Co.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Gasang,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,"King Kong Publishing House,",Unclear,Chao Qun Printing Co.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Gadis Yang Bertenaga,1993-09-02,1993,P.U. (A) 253,Printed Documents,Shi Gang,"King Kong Publishing House,",Unclear,Chao Qun Printing Co.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Perempuan Simpanan,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,Mini Publishing House,Unclear,"Hua Li Printing Co.,","[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Nafsu Seks Yang Tidak Puas-Puas,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Gadis Intim,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Perkahwinan Percubaan,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Muslihat Jejaka Tampan,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Rasa Malu,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Sumber Percintaan,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Gigolo,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Percintaan Antara Guru Dengan Pelajar,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Godaan,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Mulut Manis,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Tide Publishing House,Unclear,New Tide Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Raja Seks,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,"New Life Publishing House,",Unclear,Li Ming Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Lelaki Miang,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Life Publishing House,Unclear,Li Ming Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Perempuan Gatal,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Life Publishing House,Unclear,Li Ming Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Gadis Yang Meragut Nyawa,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wei Wei,New Life Publishing House,Unclear,Li Ming Printing Factory,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Rangkaian Kerinduan,1993-09-02,1993,P.U. (A) 253,Printed Documents,Li Hao,"Chang Qiong Publishing House, Taiwan",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Pertemuan Romantik,1993-09-02,1993,P.U. (A) 253,Printed Documents,Li Hao,"Chang Qiong Publishing House, Taiwan",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Kisah Anjing Betina Membalas Budi,1993-09-02,1993,P.U. (A) 253,Printed Documents,Xu Ling,"Kuai Ze Book Co.,",Unclear,"Poh Wei Book Co.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Buku Panduan Seks Dan Kesihatan,1993-09-02,1993,P.U. (A) 253,Printed Documents,Zhong He,New Era Publishing House,Unclear,World Colour Printing Factory,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Huraian Baru Buku Seni Erotik Su Nu,1993-09-02,1993,P.U. (A) 253,Printed Documents,Wu Ming Xiu,Le Huo Publishing House,Unclear,"Le Huo Printing Co.,","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Perhubungan Sulit,1993-09-02,1993,P.U. (A) 253,Printed Documents,Zhang Ah Man,"Xin Xin Cultural Enterprise Co. Ltd.,",Local,Tung Ya Printing Factory Co. Ltd.,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Cerita Pop Pop,1993-09-02,1993,P.U. (A) 253,Printed Documents,Xua Yin Xiong,Xin Qi Ren Publishing House,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Seksologi,1993-09-02,1993,P.U. (A) 253,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
Alam Sebagai Saksi,1993-09-23,1993,P.U. (A) 280,Printed Documents,Mohamad Zain Bin Hassan,Pustaka Ansharullah,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
Jimak (Hubungan Kelamin Cara Islam),1993-09-23,1993,P.U. (A) 280,Printed Documents,A. Hamid Othman,Karya Abazie,Unclear,Percetakan Selaseh,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Permata Yang Hilang (Seni Nafkah Batin),1993-09-23,1993,P.U. (A) 280,Printed Documents,Ibnu Yusuf,Add Sell,Unclear,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Penemuan Ilmiah Tentang Kandungan Al-Quran,1993-09-23,1993,P.U. (A) 280,Printed Documents,Dr Rashad Khalifa,PT Bina Ilmu,Foreign,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Isa Al-Masih Masih Hidup Ataukah Sudah Mati,1993-09-23,1993,P.U. (A) 280,Printed Documents,Joesoef Sou`yb,Pustaka Alhusna,Local,Mutiara Sumber Widya Offset Jakarta,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Permata Yang Indah (Ad-durrun nafis),1993-09-23,1993,P.U. (A) 280,Printed Documents,Syekh M.Nafis bin Idris Al Banjarie,CV. Amin Surabaya,Foreign,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Pendekatan Dunia Islam dan Kristien,1993-09-23,1993,P.U. (A) 280,Printed Documents,Prof. Drs K.H. Hasbullah Bakry Sh.,"Grafindo Utama, Jakarta Indonesia",Foreign,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Apakah Judi Itu,1993-09-23,1993,P.U. (A) 280,Printed Documents,Prof. K.H. Ibrahim Hosen. LML.,"Lembaga Kajian Ilmiah Institut Ilmu Al-Quran (11Q), Jakarta",Foreign,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
Penawar Racun Fitnah Terhadap Ahmadiah. Tanggapan Dan Penyelarasan Atas Buku Mengapa Saya Keluar Dari Ahmadiyah Qadiani,1993-09-23,1993,P.U. (A) 280,Printed Documents,Pengurus Besar Jema`at Ahmadiah,Jema`at Ahmadiah Indonesia,Foreign,n/a,"[""Malay""]",Religious doctrinal deviance,Ahmadiyyah,,,
Dr Mahathir atau Ustaz Ashaari Siapa Lebih Tokoh?,1993-09-23,1993,P.U. (A) 280,Printed Documents,Nik Mahadi Nik Hassan,Penerbitan Al Munir,Local,"Percetakan Turbo (M) Sdn Bhd.,","[""Malay""]",Subversive ideological and political content,Revolutionary politics,,,
Mutiara Timur III,1994-01-13,1994,P.U. (A) 6,Audio/Recordings,n/a,Music Factory,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
Lagu-lagu Popular Hokkien Nostalgik Yang Berselera Tambahan GS-778,1994-01-13,1994,P.U. (A) 7,Audio/Recordings,Tidak Diketahui,Golden Note Records Co. Production,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Lagu-lagu Popular Hokkien Yang Berselera Tambahan GS-780,1994-01-13,1994,P.U. (A) 7,Audio/Recordings,Tidak diketahui,Golden Note Records Co. Production,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
Lagu-lagu Popular Hokkien Yang Berselera Tambahan GS-89-777,1994-01-13,1994,P.U. (A) 7,Audio/Recordings,Tidak Diketahui,Golden Note Records Co. Production,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
The Computer Speak: God's Message to the World,1994-01-13,1994,P.U. (A) 8,Printed Documents,Rashad Khalifa,Renaissance Productions International,Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Christ in Islam and Christianity,1994-01-13,1994,P.U. (A) 8,Printed Documents,Neal Robinson,"MACMILLAN PRESS LTD.,",Foreign,Billing & Sons Ltd.,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Muhammad A Western Attempt to Understand Islam,1994-01-13,1994,P.U. (A) 8,Printed Documents,Karen Amstrong,"Victor Gollancz Ltd.,",Foreign,Butler and Tanner Ltd,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
ISLAM IN THE MODERN WORLD A Christian Perspective,1994-01-13,1994,P.U. (A) 8,Printed Documents,Norman Anderson,APOLLOS (an imprint of Inter-Varsity Press),Foreign,"Collins Glasgow, Great Britain","[""English""]",Religious doctrinal deviance,Other,,,
The March of Islam,1994-01-13,1994,P.U. (A) 8,Printed Documents,TIME-LIFE BOOKS,"TIME-LIFE BOOKS INC., U.S.A.",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
WHITE ZOMBIE LA SEXORCISTO DEVIL MUSIC VOL.1,1994-01-20,1994,P.U. (A) 19,Audio/Recordings,WHITE ZOMBIE,Geffen Records,Unclear,"Digitpress Sdn Bhd.,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE PICTURE,1994-03-17,1994,P.U. (A) 91,Printed Documents,n/a,THE PICTURE,Unclear,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Making Love,1994-03-24,1994,P.U. (A) 95,Printed Documents,Melanie Tem Nancy Holder,"Dell Publishing a division of Bantam Doubleday Dell Publishing Group, Inc.",Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
The Journal of Erotica,1994-03-24,1994,P.U. (A) 95,Printed Documents,n/a,"Midsummer Books Ltd.,",Foreign,n/a,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
Hajime Sorayama,1994-03-24,1994,P.U. (A) 95,Printed Documents,n/a,"Benedikt Taschen Verlag GmbH, Hohenzollernring",Foreign,"Druckhaus Cramer Greven, Germany","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
HR Giger Arht,1994-03-24,1994,P.U. (A) 95,Printed Documents,n/a,"Benedikt Taschen Verlag GmbH, Hohenzollernring",Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
SUARA ACHEH MERDEKA,1994-03-31,1994,P.U. (A) 102,Printed Documents,n/a,BM BOX 3294 London WC in 3XX England,Foreign,n/a,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
The Journeyer,1994-03-31,1994,P.U. (A) 103,Printed Documents,Gary Jennings,"Mc Clelland and Stewart Ltd., Canada",Foreign,"Halliday Lithograph Corporation,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
Hadis Jawapan kepada Pengkritik,1994-04-21,1994,P.U. (A) 135,Printed Documents,Kassim Ahmad,"Media Indah Sdn.Bhd.,",Local,JiwamasPrinters Sdn. Bhd.,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
"Cakera padat bertajuk ""THE EAST IS RED Selected Songs"" 1.The East Is Red 2.The October Wind From The North 3.Peasants1 Song 4.Workers, Peasants And Soldiers, Unite! 5.Autumn Harvest Uprising 6.Chingka",1994-05-12,1994,P.U. (A) 177,Audio/Recordings,n/a,Baily Record Co. Ltd,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
Pelacur Muda Aku Mencintaimu,1994-05-12,1994,P.U. (A) 178,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
